page,step,lead,result,figures,lead_translation,result_translation,,
111,6(7),"Голова спереду майже прямокутна (рис. 56, 2), очі округлі, стеблово-опуклі (III–V). Тіло вкрите притиснутими сплутаними волосками (II–V).",Рід фімодера -- Phimodera,56,"The head is almost rectangular from the front (Fig. 56, 2), the eyes are round, sticking out (III–V). The body is covered with appressed tangled hairs (II–V).", -- Phimodera,"The head in the front is almost rectangular (Fig. 56, 2), eyes rounded, stem-stem (III-V). The body is covered with clad with confused hairs (II - V).",Fimoder genus - Phimodera
111,7(6),"Голова спереду прямокутно закруглена, очі сидячі (I–V). Тіло вкрите дуже короткими стирчачими волосками (II–V).",Рід одонтотарзус -- Odontotarsus,,"The head is rectangularly rounded from the front, the eyes are sessile (I–V). The body is covered with very short protruding hairs (II–V).", -- Odontotarsus,"The head in front is rectangularly rounded, the eyes are sitting (I - V). The body is covered with very short sticking hairs (II - V).",Odontotarsus - Odontotarsus
111,8(5),Тіло зовсім голе (Eurygastrini).,,,The body is completely bare (Eurygastrini).,,The body is completely naked (Eurygastrini).,
111,9(10),"На шорстколистих (Borraginaceae). Тіло овальне (I), яйцевидне (II–III) або короткоовальне (IV–V). Сплющені бокові краї передньоспинки бруднобілі (I–III). Тіло з білуватими або бруднобілуватими плямами і горбиками (IV–V).",Рід псакаста -- Psacasta,,"On Boraginaceae plants. The body is oval (I), ovoid (II–III) or short oval (IV–V). The flattened lateral edges of the pronotum are off-white (I–III). Body with whitish or off-white spots and tubercles (IV–V).", -- Psacasta,"On the rough (Borraginaceae). The body is oval (I), ovate (II - III) or short -ought (IV - V). Slunted side edges of the anterior bunch of dirty white (I -III). Body with whitish or dirty -white spots and humps (IV - V).",Psacasta - Psacasta
111,10(9),"На злакових. Тіло майже кругле (I), короткоовальне (II–III) або овальне (IV–V). Сплющені бокові краї передньоспинки темні, як і її диск (II–III), Тіло навіть місцями не біле і без горбиків (IV–V).",Рід евригастер -- Eurygaster,,"On Poaceae. The body is almost round (I), short oval (II–III) or oval (IV–V). The flattened lateral edges of the pronotum are dark, as is the pronotal disc (II–III), the body is not evenly white in spots and without tubercles (IV–V).", -- Eurygaster,"On cereals. The body is almost round (I), short -ought (II - III) or oval (IV - V). The flattened edges of the anterior element are dark, as well as its disk (II - III), the body is not even white in places without hills (IV - V).",Genus Eurigaster - Eurygaster
,,Таблиця для визначення видів роду одонтосцеліс,,,Table for determining the species of the genus Odontoscelis,,Table to identify species of the genus Odontosalis,
112,1(2),"Тіло видовженоовальне, крім щетинистих волосків вкрите товстими чорними шипиками, що утворюють плями і розміщені в кілька поздовжніх рядів (II–V).",О. шипуватий -- O. hispidula,,"The body is elongated oval, in addition to bristly hairs, it is covered with thick black spines that form spots and are placed in several longitudinal rows (II–V).", -- Odontoscelis hispidula,"The body elongated, in addition to the bristly hairs, is covered with thick black spines that form stains and placed in several longitudinal rows (II - V).",O. Shipy - O. Hispidula
112,2(1),"Тіло овальне, без чорних шипиків.",,,"The body is oval, without black spines.",,"The body is oval, without black spines.",
112,3(4),Крупніший; опушення коротше (II–V).,О. темний -- O. fuliginosa,,Larger; pubescence shorter (II–V).,Greater-streaked shieldbug -- Odontoscelis fuliginosa,Larger; pubescence shorter (II - V).,O. Dark - O. Fuliginosa
112,4(3),"Дрібніший, волоски на тілі довші і розміщені густіше (II–V).",О. малий -- O. dorsalis ,,"Smaller, hairs on the body are longer and more densely placed (II–V).",Lesser-streaked shieldbug -- Odontoscelis dorsalis,"Smaller, the hairs on the body are longer and placed thicker (II - V).",O. Small - O. Dorsalis
,,Таблиця для визначення видів роду фімодера,,,Table for determining the species of the genus Phimodera,,Table to determine the species of the genus Fimoder,
121,1(2),Вертлюги ніг (принаймні задніх) з чітким виростком у вигляді горбика (III–V).,Ф. шипувата -- Ph. nodicollis,,Trochanters (at least the hind ones) with a clear condyle in the form of a tubercle (III–V)., -- Phimodera nodicollis,Fags (at least back) with a clear outgrowth in the form of a hump (III - V).,F. Shipwat - ph. nodicolis
121,2(1),Вертлюги ніг без усякої ознаки горбика (I–V).,Ф. відмінна -- Ph. distincta,,Trochanters without any sign of tubercle (I–V)., -- Phimodera distincta,Fags of the legs without any sign of a hump (I - V).,F. Excellent - ph. Distincta
,,Таблиця для визначення видів роду одонтотарзус,,,Table for determining the species of the genus Odontotarsus,,Table to identify species of the genus Odontotarsus,
125,1(2),"Зовнішній край черевця майже рівний, тіло буре, звичайно з трьома поздовжніми світлими смугами, без складного узору зверху у старших стадій. Задня частина передньоспинки лише з слабою поперечною вм'ятиною (вигляд збоку).",О. звичайний -- O. purpureolineatus,,"Outer edge of the abdomen is almost flat, the body is brown, usually with three longitudinal light stripes, without a complex pattern on top in older stages. Posterior part of pronotum with only a weak transverse dent (side view).",Large purple streaked shieldbug -- Odontotarsus purpureolineatus,"The outer edge of the abdomen is almost smooth, the body brown, usually with three longitudinal light stripes, without a complex pattern from above in the older stages. The back of the front is only with a weak transverse dent (side view).",O. Common - O. Purpureolineatus
125,2(1),"Зовнішній край черевця з глибокими вирізками в місцях зчленування сегментів, помітно городчастий. Тіло коричневе, часто навіть червонуватє (I–III, іноді і IV), з однією світлою смужкою або без неї (I–IV), а у старших стадій із складним рисунком з білуватих плям і смуг. Задня частина передньоспинки з глибокою поперечною вм'ятиною.",О. кремезний -- O. robustus,,"Outer edge of the abdomen with deep notches at the joints of the segments, noticeably ridged. The body is brown, often even reddish (I–III, sometimes IV), with one light stripe or without it (I–IV), and in older stages with a complex pattern of whitish spots and stripes. Posterior part of the pronotum with a deep transverse dent.", -- Odontotarsus robustus,"The outer edge of the abdomen with deep tenderloin at segments joint, is noticeably citizen. The body is brown, often even reddish (I -III, sometimes IV), with or without one light strip (I -IV), and in the older stages with a complex pattern of whitish spots and stripes. The back of the anterior element with a deep transverse dent.",O. Kluzny - O. Robustus
,,Таблиця для визначення видів роду псакаста,,,Table for determining the species of the genus Psacasta,,Table to identify species of the genus Psacasta,
129,1(2),Черевце сіруватовохристе (I–II) або сіре (I–V); випарні площадки у старших стадій звичайно розмиті. Ширина темної плями на V стерніті черевця менша за відстань від її бокового краю до краю черевця. Членики вусиків майже однобарвні. Крупніша.,П. звичайна -- P. exanthematica,,Abdomen is grayish-ochre (I–II) or gray (I–V); ESESs in older stages are usually blurred. The width of the dark spot on sternite V of the abdomen is smaller than the distance from its lateral edge to the edge of the abdomen. The members of the antennae are almost the same color. Larger., -- Psacasta exanthematica,Germinal germ (I - II) or gray (I - V); The evaporation platforms in the older stages are usually blurred. The width of a dark spot on the V stubble of the abdomen is smaller than the distance from its lateral edge to the edge of the abdomen. Joints of antennae are almost monochrome. Larger.,P. Normal - P. Exanthematica
129,2(1),"Черевце червонувате (I–II), червонуватосіре (III) або білувате (IV–V); друга і третя випарні площадки у старших стадій звичайно різко окреслені, коричневочорні з білими горбиками біля вивідних отворів. Ширина темної плями на V стерніті майже така, як відстань від його бокового краю до краю черевця. Другий і третій членики вусиків світлі, а перший і четвертий — темні. Менша.",П. мала -- P. neglecta,,"Abdomen reddish (I–II), reddish gray (III) or whitish (IV–V); the second and third ESESs in older stages are usually sharply delineated, brownish-black with white tubercles near the outlet openings. The width of the dark spot on sternite V is almost as long as the distance from its lateral edge to the edge of the abdomen. The second and third segments of the antennae are light, and the first and fourth are dark. Smaller.", -- Psacasta neglecta,"Abdomen reddish (I - II), reddish (III) or whitish (IV - V); The second and third evaporation platforms in the older stages are usually sharply outlined, brown -black with white hills near the excretory holes. The width of a dark spot on V stubble is almost as the distance from its lateral edge to the edge of the abdomen. The second and third joints of the antennae are light, and the first and fourth are dark. Smaller.",P. Mala - P. NEGELCTA
,,Таблиця для визначення видів роду черепашки,,,Table for determining the species of the genus Eurygaster,,Table to determine the species of the genus turtle,
135,1(2),"Наличник коротший за вилиці, його вершина лежить значно нижче за їх поверхню; вилиці майже (IV) або повністю (V) закривають вершину наличника (рис. 62, б).",Ч. австрійська -- E. austriacus,62,"The tylus is shorter than the jugae, its top much lower than their surface; the jugae almost (IV) or completely (V) cover the top of the tylus (Fig. 62, b).",Southern broad-bellied bug -- Eurygaster austriacus,"The trim is shorter than the cheeks, its top lies much lower than their surface; The cheeks almost (IV) or completely (V) close the vertex of the trim (Fig. 62b).",C. Austrian - E. Austriacus
135,2(1),"Наличник не коротший за вилиці, а якщо трохи коротший, то лежить майже в одній площині з ними, спереду зовсім відкритий (рис. 62, а).",,62,"The tylus is not shorter than the jugae, and if it is a little shorter, it lies almost in the same plane with them, completely open in front (Fig. 62, a).",,"The trim is not shorter than the cheeks, and if slightly shorter, it lies almost in one plane with them, in the front is completely open (Fig. 62, a).",
135,3(6),В основних кутах зачатка щитка розміщено по гладенькій мозолистій плямці.,,,"In the main corners of the shield rudiment, a smooth callous spot is located.",,"In the main corners of the germ, the panel is placed on a smooth corpus spot.",
135,4(5),"Бокові краї передньоспинки ледве помітно (I) або помітно (IV–V) вигнуті; реберце, що облямовує краї вилиць, тонке і майже вдвоє нижче, ніж у наступних видів.",Ч. шкідливо -- E. integriceps,,The lateral edges of the pronotum are barely perceptibly (I) or perceptibly (IV–V) curved; the ridge bordering the edges of the jugae is thin and almost twice as low as in the following species., -- Eurygaster integriceps,The side edges of the anterior stop are barely noticeable (I) or noticeably (IV -V) curved; The rib that fits the edges of the cheeks is thin and almost twice lower than in the following species.,C. Harmful - E. Integriceps
135,5(4),"Бокові краї передньоспинки у личинок всіх стадій прямі, у старших — іноді злегка увігнуті. Реберце, що облямовує вилиці, вище і товще, ніж у шкідливої черепашки.",Ч. маврська і ч. вологолюбна -- E. maurus і E. testudinarius,,"The lateral edges of the pronotum in larvae of all stages are straight, in older ones they are sometimes slightly concave. The ridge bordering the jugae is higher and thicker than that of E. integriceps.",European tortoise bug and Tortoise bug -- Eurygaster maura and Eurygaster testudinarius,"The side edges of the anterior ebb in the larvae of all stages are straight, the elders - sometimes slightly concave. The rib that fits the cheeks is higher and thicker than the harmful turtle.",C. Mavra and Ch. Holoid - E. Maurus and E. Testudinarius
135,6(3),Основні кути зачатка щитка без гладеньких мозолистих плям.,Ч. широкоспинна -- E. dilaticollis,,The main corners of the shield rudiment without smooth callous spots., -- Eurygaster dilaticollis,The main angles of the germ of the panel without smooth corns.,C. Broadvnia - E. Dilaticolis
,,Таблиця для визначення підродин родини справжніх щитників,,,Table for determining the subfamilies of the family Pentatomidae,,Table to determine the subfrace of the real shields family,
162,1(4),"Хоботок не товстий, часто тонкий; верхня губа прикріплена при вершині голови, а основа хоботка трохи зміщена дозаду (рис. 21, 4).",,21,"The proboscis is not thick, often thin; the labrum is attached to the top of the head, and the base of the proboscis is slightly shifted backwards (Fig. 21, 4).",,"The proboscis is not thick, often thin; The upper lip is attached at the top of the head, and the base of the proboscis is slightly shifted the don (Fig. 21, 4).",
162,2(3),"Вивідні отвори всіх черевних залоз попарно зближені, відстань між отворами другої пари не перевищує ¼–⅕ (молодші стадії) або ⅐–⅒ (старші стадії) найбільшої ширини черевця (тільки у Podops вона наближається до ⅕). Голова звичайно сильно нахилена, а черевце без чорного пунктирування, всі відділи тіла майже однаково світлі (II–V) або (Graphosomini) відстань між вивідними отворами першої пари більша, ніж між отворами другої пари.",Підродина подопіни -- Podopinae,,"The ostioles of all abdominal glands are split in two, the distance between the openings of the second pair does not exceed ¼–⅕ (younger stages) or ⅐–⅒ (older stages) of the greatest width of the abdomen (only in Podops it approaches ⅕). The head is usually strongly inclined, and the abdomen is without black punctuation, all parts of the body are almost equally light (II–V) or (Graphosomini), the distance between the ostioles of the first pair is greater than between the holes of the second pair.",Turtle bugs -- Podopinae,"The excretory openings of all abdominal glands are paired in pairs, the distance between the holes of the second pair does not exceed ¼ - ¼ (younger stages) or ⅐ - ⅐ (older stages) of the largest width of the abdomen (only in Podops it approaches ⅕). The head is usually strongly tilted, and the abdomen without black puncture, all parts of the body are almost equally light (II -V) or (graphosomini).",Podopine subfamily - Podopinae
162,3(2),"Вивідні отвори черевних залоз розставлені ширше, і проміжок між отворами другої пари звичайно не перевищує ⅓ (молодші стадії) або ⅓–¼ (старші стадії) ширини черевця. Голова частіше майже горизонтальна або слабо нахилена, а якщо нахилена сильно, то черевпе в глибокому чорному пунктируванні. Голова і груди у I–III, нерідко і у IV–V (хоч би частково) стадій темніші, ніж черевце, а відстань між отворами першої пари не більша (за винятком Bagrada), ніж між отворами другої пари.",Підродина пентатоміни -- Pentatominae,,"The ostioles of the abdominal glands are more widely spaced, and the interval between the openings of the second pair usually does not exceed ⅓ (younger stages) or ⅓–¼ (older stages) of the width of the abdomen. The head is more often almost horizontal or slightly tilted, and if it is tilted strongly, then abdomen with deep black punctuation. The head and thorax in I–III, and often in IV–V (at least partially) stages are darker than the abdomen, and the distance between the ostioles of the first pair is not greater (with the exception of Bagrada) than between the holes of the second pair.", -- Pentatominae,"The excretory openings of the abdominal glands are placed wider, and the gap between the holes of the second pair usually does not exceed ⅓ (younger stages) or ⅓ - (older stages) of the width of the abdomen. The head is more often almost horizontal or slightly tilted, and if tilted, the abdomen in deep black punctuation. The head and chest in I -III, often in the IV -V (at least partially) stages are darker than the abdomen, and the distance between the holes of the first pair is no longer (except for Bagrada) than between the holes of the second pair.",Pentatominic subfamily - Pentatominae
162,4(1),"Хоботок дуже товстий; основи хоботка і верхньої губи зближені і прикріплені при вершині голови (рис. 21, 6).",Підродина азопіни -- Asopinae,21,"The proboscis is very thick; the bases of the proboscis and labrum are conjoined and attached to the top of the head (Fig. 21, 6).",Predatory stink bugs -- Asopinae,"The proboscis is very thick; The bases of the proboscis and upper lip are approached and attached at the top of the head (Fig. 21, 6).",Azopina's subfamily - Asopinae
,,Таблиця для визначення родів підродини подопін,,,Table for determining the genera of the subfamily Podopinae,,Table to determine the genera of the subfamily Podopin,
163,1(6),"Відстань між отворами першої черевної залози значно ширша, ніж на другій площадці. Перша площадка парна, у вигляді двох овалів (рис. 23, 5) (Ancyrosomini).",,23,"The distance between the ostioles of the first abdominal gland is much wider than on the second ESES. The first ESES is split in two, in the form of two ovals (Fig. 23, 5) (Ancyrosomini).",,"The distance between the holes of the first abdominal gland is much wider than on the second platform. The first platform is paired, in the form of two ovals (Figs. 23, 5) (Ancyrosomini).",
163,2(3),Тіло вкрите волосками. Черевце зверху з двома широкими бархатистокоричневими смугами.,Рід толагмус -- Tholagmus,,The body is covered with hairs. Abdomen above with two broad velvety brown stripes., -- Tholagmus,The body is covered with hairs. The abdomen on top with two wide velvety -rooted stripes.,Genus Tolagmus - Tholagmus
163,3(2),Тіло зовсім голе. Черевце без поздовжніх коричневих смуг.,,,The body is completely bare. Abdomen without longitudinal brown stripes.,,The body is completely bare. Abdomen without longitudinal brown stripes.,
163,4(5),"Задні і передні кути сегментів черевця витягнуті у вигляді гострих шипів (рис. 35, 3) (II–V).",Рід анцирозома -- Ancyrosoma,35,"The back and front corners of the abdominal segments are elongated in the form of sharp spines (Fig. 35, 3) (II–V).", -- Ancyrosoma,"The hind and front angles of the abdominal segments are extended in the form of sharp thorns (Figs. 35, 3) (II - V).",Ancirosoma genus - ancyrosoma
163,5(4),"Зовнішній край черевного обідка вирізаний, але кути сегментів не шипуваті (рис. 76, 2) (II–V).",Рід стернодонтус -- Sternodontus,76,"The outer edge of the abdominal rim is notched, but the corners of the segments are not spiked (Fig. 76, 2) (II–V).", -- Sternodontus,"The outer edge of the abdominal rim is cut, but the angles of segments are not spiked (Figs. 76, 2) (II - V).",Genus sternodontus - sternodontus
163,6(1),"Відстань між отворами першої черевної залози не ширша або трохи ширша (Graphosomini), ніж на другій площадці. Перша випарна площадка непарна.",,,The distance between the ostioles of the first abdominal gland is not wider or slightly wider (Graphosomini) than on the second ESES. The first ESES is continuous.,,The distance between the holes of the first abdominal gland is not wider or a little wider (graphosomini) than on the second platform. The first evaporation platform is odd.,
163,7(8),"Тіло зелене, кулясте. Отвори першої залози без темних крапок і розставлені вужче, ніж у інших залоз; біля отворів другої і третьої випарних площадок розміщено по одній чорній крапці. Черевце без темного пунктирування. На галофітах.",Рід тариза -- Tarisa,,"The body is green, spherical. The ostioles of the first gland are without dark dots and are more narrowly spaced than those of the other glands; one black dot is placed near the ostioles of the second and third ESESs. Abdomen without dark punctuation. On halophytes.", -- Tarisa,"The body is green, spherical. The openings of the first gland without dark dots and are placed narrower than other glands; Near the holes of the second and third evaporation sites are located one black point. The abdomen without dark puncture. On halophytes.",Genus Tariza - Tarisa
163,8(7),"Тіло іншого кольору, некулясте (крім Vilpianus), якщо черевце зеленувате або зеленуватоголубувате, то біля отворів другої і третьої площадок розміщені парні чорні крапки. Не зустрічаються на галофітах (крім Trigonosoma halophilum Jak.).",,,"The body is of a different color, non-spherical (except for Vilpianus), if the abdomen is greenish or bluish-green, then there are paired black dots near the ostioles of the second and third ESESs. Not found on halophytes (except Trigonosoma halophilum Jak.).",,"The body of a different color, unknown (except Vilpianus), if the abdomen is greenish or greenish, then there are paired black dots near the holes of the second and third sites. Are not found on halophytes (except Trigonosoma halophilum jak.).",
163,9(20),"Біля отворів всіх пахучих залоз є по великій чорній крапці (лише у Trigonosoma trigonum Kryn. отвори першої площадки з бурими, іноді неясними плямками). Відстань між крапками біля отворів першої площадки не вужча, ніж між крапками другої, або випарні площадки значно темніші за черевце.",,,"There is a large black dot near the ostioles of all scent glands (only in Trigonosoma trigonum Kryn. the openings of the first site with brown, sometimes unclear spots). The distance between the dots near the openings of the first ESES is not narrower than between the dots of the second, or the ESESs are much darker than the abdomen.",,"There are a large black point near the holes of all fragrant glands (Trigonosoma Trigonum Kryn. The distance between the dots near the holes of the first platform is not narrower than between the dots of the second, or the evaporation platforms are much darker than the abdomen.",
163,10(17),"Випарні площадки такого кольору, як і черевце, а чорні крапки біля отворів черевних залоз різко виділяються на світлому фоні. Відстань між отворами на першій площадці не більша, ніж на другій. Тіло частіше майже однобарвне, світле або темносіре (Trigonosomini).",,,"ESESs are the same color as the abdomen, and black dots near the ostioles of the abdominal glands stand out sharply against a light background. The distance between the ostioles on the first ESES is not greater than on the second. The body is often almost monochromatic, light or dark gray (Trigonosomini).",,"The evaporated platforms of this color as the abdomen, and the black dots near the holes of the abdominal glands are sharply excreted on a light background. The distance between the holes on the first platform is not greater than on the second. The body is more often almost single, light or dark (trigonosomini).",
164,11(12),"Тіло майже кулясте, з шістьма горбиками на середньоспинці, темносіре (II–V). Ноги озброєні товстими білуватими шипиками (II–V), а вертлюги з горбиками (IV–V).",Рід вільпіанус -- Vilpianus,,"The body is almost spherical, with six tubercles on the mesonotum, dark gray (II–V). Legs with with thick whitish spines (II–V), and trochanters with tubercles (IV–V).", -- Vilpianus,"The body is almost spherical, with six hills on the middle, dark (II - V). The legs are armed with thick whitish spines (II - V), and swivels with humps (IV -V).",Genus Vilpianus - Vilpianus
164,12(11),"Тіло некулясте, без горбиків на середньоспинці, черевце світліше (II–V). Стегна і голінки без шипиків, a вертлюги ніг не озброєні (II–V).",,,"The body is non-spherical, without tubercles on the mesonotum, the abdomen is lighter (II–V). Femurs and tibiae without spines, and trochanters without tubercles (II–V).",,"The body is unknown, without humps on the middle, the abdomen lighter (II - V). The hips and hips without spines, and the sworn legs are not armed (II - V).",
164,13(14),Менший. Черевний обідок облямований округлим білуватим реберцем (III–V). Голова і груди темнобурі (I–III) або з рештками темного забарвлення у вигляді розмитих смуг (IV–V); темні крапки біля отворів другої і третьої залоз непарні.,Рід крипсинус -- Crypsinus,,Smaller. The abdominal rim is bordered by a rounded whitish ridge (III–V). The head and thorax are dark brown (I–III) or with remnants of dark color in the form of blurred stripes (IV–V); dark spots near the ostioles of the second and third glands are split in two., -- Crypsinus,Less. The abdominal rim is fringed with rounded whitish ribs (III - V). The head and chest of dark brown (I -III) or with the remains of dark color in the form of blurred stripes (IV - V); Dark dots near the holes of the second and third glands are odd.,Crypsinus - Crypsinus
164,14(13),Крупніший. Черевний обідок без округлого реберця по краю. Все тіло майже (II–III) або зовсім (IV–V) однобарвне або темні крапки біля отворів другої і третьої залоз парні.,,,"Larger. Abdominal rim without a rounded ridge along the edge. The whole body is almost (II–III) or completely (IV–V) monochromatic, or the dark spots near the ostioles of the second and third glands are continuous.",,Larger. Abdominal rim without round ribs around the edge. The whole body is almost (II -III) or completely (IV -V) one -brown or dark dots near the holes of the second and third glands paired.,
164,15(16),Тіло дуже опукле. Зовнішній край і низ черевця із світлими щетинками або біля отворів задніх залоз є парні крапки.,Рід тригонозома -- Trigonosoma,,The body is very convex. The outer edge and bottom of the abdomen with light bristles or there are paired dots near the ostioles of the posterior glands., -- Trigonosoma,The body is very convex. The outer edge and bottom of the abdomen with light bristles or near the holes of the back glands are paired dots.,Trigonozomo - Trigonosoma
164,16(15),"Тіло менш опукле, зовсім голе; біля отворів усіх залоз є по одній чорній крапці.",Рід лепрозома --  Leprosoma,,"The body is less convex, completely bare; there is one black dot near the ostioles of all glands.", -- Leprosoma,"The body is less convex, completely bare; There are one black point near the holes of all glands.",Genus Leprozoma - LEPROSOMA
164,17(10),"Випарні площадки (рис. 23, 6) значно темніші за основне забарвлення черевця або (принаймні у старших стадій) з темним облямуванням; чорні крапки біля отворів погано помітні. Відстань між отворами першої черевної залози більша, ніж на другій площадці. Голова і груди звичайно темніші, ніж черевце (Graphosomini).",,23,"ESESs (Fig. 23, 6) are much darker than the main color of the abdomen or (at least in older stages) with a dark border; black dots near the ostioles are not easily visible. The distance between the ostioles of the first abdominal gland is greater than on the second ESES. The head and thorax are usually darker than the abdomen (Graphosomini).",,"Evaporation platforms (Figs. 23, 6) are much darker than the main color of the abdomen or (at least in the older stages) with dark border; Black dots near the holes are not noticeable. The distance between the holes of the first abdominal gland is greater than on the second platform. The head and chest are usually darker than the abdomen.",
164,18(19),"Голова темна, майже чорна (I–V), а якщо бура (V), то в основних кутах щитка різко виділяється по білому горбику і на грудях нема поздовжніх темних смуг (IV–V).",Рід дерула -- Derula,,"The head is dark, almost black (I–V), and if it is brown (V), then in the main corners of the shield, a white bump stands out sharply, and there are no longitudinal dark stripes on the thorax (IV–V).", -- Derula,"The head is dark, almost black (I - V), and if the brown (V), then in the main corners the panel is sharply stand out on the white hump and there are no longitudinal dark stripes on the chest (IV - V).",The derula genus is derula
164,19(18),"Голова жовтувата з широкою чорною смугою, що простягається вздовж її середини від вершини до основи (I–V); у старших стадій ця смуга в оcновній половині часто розщеплена поздовжнім світлим штрихом; рідше голова майже суцільно світла (II–V). В основних кутах щитка нема білих горбиків (I–V), а груди зверху світліші, з двома дуже широкими чорними смугами з двох боків від серединної світлої лінії (I–III) або з шістьма темними смугами, які сходяться разом на вершині щитка (IV–V) (рис. 78, 3); рідше груди світлі, крім розмитих темних смуг (II–V).",Рід графозома -- Graphosoma,78,"Head yellowish with a broad black stripe extending along its middle from apex to base (I–V); in older stages, this stripe in the main half is often split by a longitudinal light stroke; less often, the head is almost completely light (II–V). There are no white tubercles in the main corners of the scutellum (I–V), and the thorax is paler above, with two very broad black stripes on either side of the median light line (I–III) or with six dark stripes that converge at the apex of the scutellum (IV –V) (Fig. 78, 3); less often, the thorax is light, except for blurred dark stripes (II–V).",Striped shield bugs -- Graphosoma,"The head is yellow with a wide black strip, extending along its middle from the top to the base (I -V); In the older stages, this strip in the ocna half is often split by a longitudinal light stroke; Less often the head is almost solid light (II - V). There are no white hills (I - V) in the main corners of the shield, and the breasts are lighter on top, with two very wide black stripes on both sides of the median light line (I -III) or with six dark stripes that converge together on top of the shield (IV IV –V) (Fig. 78, 3); Rarely breasts are light, except for blurred dark stripes (II - V).",Graphosoma - Graphosoma
164,20(9),"Вивідні отвори першої черевної залози без чорних крапок, відстань між отворами менша, ніж між чорними крапками, які розміщені біля другої і третьої залоз. Голова, груди, черевце і випарні площадки на ньому світлі (Podopini).",Рід подопс -- Podops,,"Ostioles of the first abdominal gland without black dots, the distance between the openings is smaller than between the black dots located near the second and third glands. The head, thorax, abdomen and ESESs on it are light (Podopini).", -- Podops,"The output openings of the first abdominal gland without black dots, the distance between the holes is smaller than between black dots, which are located near the second and third glands. Head, chest, abdomen and evaporated platforms on it light (podopini).",The Podops type - Podops
,,Таблиця для визначення видів роду тригонозома,,,Table for determining the species of the genus Trigonosoma,,Table to determine the species of the genus trigonosoma,
167,1(2),Черевце по краю вкрите світлими довгими щетинками. Живе на Alyssum.,T. бурачкова -- T. philalyssum,,The abdomen is covered with light long bristles along the edge. Lives on Alyssum., -- Trigonosoma philalyssum,The abdomen on the edge is covered with light long bristles. Lives on Alyssum.,T. Burachkova - T. Philalyssum
167,2(1),Край черевця без світлих довгих щетинок. Живе на інших рослинах.,,,Margin of abdomen without light long bristles. Lives on other plants.,,The edge of the abdomen without light long bristles. Lives on other plants.,
167,3(4),Черевце сіруватозеленувате. Живе на галофітах.,Т. галофільна -- T. halophilum,,The abdomen is grayish-green. Lives on halophytes., -- Trigonosoma halophilum,The abdomen is gray -green. He lives on halophytes.,T. Galophil - T. Halophilum
167,4(3),Черевце зеленуватоголубувате. Живе на Nigella.,Т. тримірна -- T. trigonum,,The abdomen is greenish-bluish. Lives on Nigella., -- Trigonosoma trigonum,The abdomen is greenish. Lives on Nigella.,T. Trimer - T. Trigonum
,,Таблиця для визначення видів роду графозома,,,Table for determining the species of the genus Graphosoma,,Table to identify species of the genus graphosoma,
184,1(2),"Голова широка; вилиці дуже мало (IV) або майже зовсім (V) закривають вершину наличника, завжди залишаючи вузьку щілину. Кільця дихалець широкі і темні.",Г. смугаста -- G. lineolatum,,"The head is wide; the jugae cover the apex of the tylus very little (IV) or almost completely (V), always leaving a narrow gap. The spiracles are wide and dark.",European striped shield bug -- Graphosoma lineolatum,"The head is wide; The cheeks are very small (IV) or almost completely (V) close the top of the trim, always leaving a narrow gap. Dykhlets rings are wide and dark.",G. Strihasta - G. Lineolatum
184,2(1),"Голова вужча і довша; вилиці майже наполовину (IV) або цілком (V) закривають вершину наличника спереду, не залишаючи щілини. Кільця дихалець вужчі і світліші.",Г. напіесмугаста -- G. semipunctatum,,"The head is narrower and longer; the jugae cover the apex of the tylus almost halfway (IV) or completely (V) anteriorly, leaving no gap. The spiracles are narrower and lighter.",North African and Sicilian striped shield bug -- Graphosoma semipunctatum,Head narrower and longer; The cheeks are almost half (IV) or completely (V) close the top of the trim in the front without leaving the cracks. The rings of the breath is narrower and lighter.,G. Napiesmugasta - G. Semipunctatum
,,Таблиця для визначення видів роду подопс,,,Table for determining the species of the genus Podops,,Table to identify species of Podopy,
190,1(2),Тіло тонко і негусто пунктироване. Наличник довший за вилиці і спереду зовсім відкритий (I–V).,П. матовий -- P. inuncta,,The body is thinly and sparsely punctuated. Tylus longer than the jugae and uncovered open in front (I–V).,European turtle-bug -- Podops inuncta,The body is finely and sparsely punctured. The trim is longer than the cheeks and in front is completely open (I - V).,P. Matte - P. INNUCTA
190,2(1),Тіло в густому (особливо на черевці) чорному пунктируванні. Наличник коротший за вилиці (III–V) і спереду значно (IV) або майже зовсім (V) закритий нини.,П. тьмяний -- P. incerta,,"The body with dense (especially on the abdomen), black punctuation. Tylus shorter than the jugae (III–V) and is largely (IV) or almost completely (V) covered in front.", -- Podops incerta,The body in a thick (especially on the abdomen) black punctuation. The trim is shorter than the cheeks (III - V) and in front significantly (IV) or almost completely (V) closed.,P. Dummy - P. Incerta
,,Таблиця для визначення родів підродини пентатомін,,,Table for determining the genera of the subfamily Pentatominae,,Table to determine the genera of the subfamily Pentatomin,
